Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
female	172	178	167	3	2	2	2
female	165	170	168	2	1	2	1
female	173	167	171	4	2	4	2
female	168	197	168	2	2	3	2
female	166	175	160	4	4	5	4
female	162	189	158	2	2	2	2
female	180	182	160	5	2	2	2
female	180	186	178	3	3	2	2
female	176	196	166	2	1	2	1
female	164	198	159	3	3	2	3
female	158	178	168	2	2	3	2
female	163	176	170	2	2	2	2
female	169	193	161	3	2	1	2
female	169	180	155	3	2	7	2
female	170	176	168	3	2	1	2
female	170	178	172	2	3	3	3
female	177	192	159	2	2	2	2
female	163	198	162	3	1	3	1
female	167	180	165	3	2	2	2
female	170	175	165	5	2	4	2
female	169	183	163	2	3	3	3
female	167	182	164	1	3	3	3
female	173	198	165	5	3	4	1
female	169	186	158	2	3	3	3
female	168	188	171	3	4	3	3
female	166	183	176	3	2	3	2
female	165	168	157	7	4	7	4
female	158	179	162	2	2	8	2
female	171	168	165	5	4	2	4
female	165	182	163	4	3	3	3
female	158	165	173	1	3	2	3
female	172	179	167	3	2	6	2
female	180	190	169	4	3	5	3
female	179	182	173	4	2	3	2
female	169	182	169	3	2	2	2
female	176	178	180	4	3	2	2
female	174	182	164	4	2	4	2
female	180	190	172	2	2	3	2
female	175	182	171	4	5	12	2
female	168	185	165	2	1	3	1
female	169	176	166	2	3	3	2
female	160	178	165	3	3	1	3
female	167	180	171	2	2	3	2
female	163	177	162	5	4	3	4
female	163	172	162	1	1	2	1
female	171	176	176	1	2	3	2
female	184	196	178	2	2	3	2
female	168	183	158	2	2	3	2
female	173	184	173	4	3	3	3
female	172	182	175	10	2	3	2
female	170	180	158	2	2	2	2
female	168	172	172	5	2	1	2
female	168	180	165	3	2	4	2
female	164	172	171	3	2	5	2
female	167	178	156	2	1	3	1
female	167	191	165	3	4	4	2
female	170	172	170	3	4	4	4
female	172	185	163	2	2	4	2
female	156	177	163	3	2	2	2
female	158	175	165	1	4	4	3
female	178	180	174	1	3	3	3
female	170	182	165	3	2	3	2
female	168	178	166	7	4	6	4
female	175	185	166	2	2	2	2
female	170	183	162	2	2	2	2
female	167	168	156	2	4	8	4
female	168	179	181	3	2	2	2
female	176	180	165	2	4	4	4
female	167	186	158	1	2	3	2
female	167	177	175	3	4	2	2
female	173	188	160	2	2	4	2
female	165	175	163	11	4	5	4
female	182	186	176	1	3	3	3
female	167	175	165	3	5	2	5
female	176	184	168	3	3	3	3
female	178	195	168	2	2	4	2
female	158	176	165	3	2	1	2
female	176	170	160	4	3	2	3
female	176	185	165	2	3	1	3
female	174	184	176	3	1	1	1
female	163	175	165	3	2	7	2
female	162	180	161	3	2	4	2
female	162	185	154	3	3	2	3
female	162	178	165	1	2	2	2
female	156	180	163	5	3	2	3
female	156	180	163	5	3	2	3
female	166	178	163	3	3	4	3
female	168	178	166	2	2	4	2
female	170	175	160	3	3	9	3
female	166	175	166	3	5	8	5
female	175	183	170	5	3	4	2
female	172	172	165	4	2	2	2
female	163	173	163	1	2	3	2
female	178	190	170	4	2	2	2
female	165	180	163	2	2	2	2
female	174	188	164	3	4	2	2
female	155	170	156	3	3	3	3
female	162	176	159	4	3	4	3
female	163	178	165	3	2	2	2
female	169	178	167	2	2	3	2
female	160	176	167	2	2	3	2
female	170	184	169	2	1	1	1
female	168	180	162	2	3	2	3
female	165	183	172	3	3	4	3
female	175	177	168	4	2	3	2
female	174	194	167	3	3	3	3
female	180	197	156	1	3	5	3
female	168	168	164	3	2	4	2
female	165	175	168	2	2	4	2
female	174	178	167	1	3	2	3
female	168	179	172	2	2	3	2
female	176	186	170	2	2	2	2
female	174	180	167	3	2	4	2
female	170	180	155	8	2	2	2
female	177	183	165	3	2	2	1
female	173	182	167	2	2	4	2
female	170	184	170	6	2	2	2
female	179	189	173	3	2	4	2
female	164	174	167	4	2	4	2
female	183	179	168	3	3	12	2
female	164	172	171	4	2	3	2
female	167	175	170	2	2	2	2
female	168	182	170	2	4	3	4
female	166	176	170	3	3	2	2
female	168	188	158	1	2	1	2
female	165	178	164	2	3	2	3
female	180	180	180	3	2	2	2
female	163	187	160	3	3	5	3
female	165	178	164	1	1	3	1
female	167	180	162	2	4	3	3
female	165	178	160	4	4	2	1
female	157	185	161	4	2	2	2
female	165	180	165	3	3	2	2
female	173	180	165	1	3	3	3
female	173	177	167	2	2	3	2
female	159	175	160	3	3	2	3
female	176	196	165	2	1	2	1
female	174	188	165	3	2	2	2
female	178	190	158	4	2	2	2
